2498	2666	d
5089	5232	d
7693	7871	d
10291	10461	d
12874	13087	d
15480	15665	d
18078	18273	d
20683	20885	d
23313	23476	d
25888	26063	d
28497	28662	d
31097	31252	d
33688	33872	d
36296	36483	d
38877	39040	d
41492	41674	d
44090	44268	d
46682	46882	d
49286	49474	d
51925	52072	d
54481	54664	d
57139	57267	d
59681	59882	d
62287	62478	d
64895	65067	d
67516	67678	d
70107	70276	d
72696	72882	d
75299	75465	d
77888	78067	d
80492	80669	d
83108	83274	d
85687	85875	d
88304	88457	d
90894	91076	d
93517	93666	d
96125	96265	d
