3000	51	i
6051	40	i
9091	60	i
12151	43	i
15194	54	i
18248	55	i
21303	46	i
24349	50	i
27399	44	i
30443	56	i
33499	50	i
36549	52	i
39601	56	i
42657	49	i
45706	46	i
48752	42	i
51794	54	i
54848	54	i
57902	45	i
60947	47	i
63994	56	i
67050	56	i
70106	54	i
73160	58	i
76218	48	i
79266	57	i
82323	44	i
85367	59	i
88426	59	i
91485	52	i
94537	46	i
97583	42	i
2600	40	d
5251	60	d
7891	48	d
10551	59	d
13194	56	d
15848	55	d
18503	41	d
21103	43	d
23749	47	d
26399	49	d
29043	46	d
31699	52	d
34349	50	d
37001	49	d
39601	56	d
42257	55	d
44906	56	d
47552	43	d
50194	49	d
52848	60	d
55502	48	d
58147	52	d
60747	57	d
63394	42	d
66050	60	d
68706	57	d
71360	45	d
74018	50	d
76666	60	d
79266	40	d
81923	50	d
84567	46	d
87226	59	d
89885	58	d
92537	50	d
95183	44	d
97825	52	d
